品牌,型号,条目名,CMOS,焦距,像素,光圈,比例
Apple,iPhone Duo,超广角,1/2.55,13,48,2.2,4:3
Apple,iPhone Duo,主摄,1/1.59,26,48,1.6,4:3
Apple,iPhone 18 Pro Max,超广角,1/2.55,13,48,2.2,4:3
Apple,iPhone 18 Pro Max,主摄,1/1.3,24,48,4-1.48,4:3
Apple,iPhone 18 Pro Max,长焦,1/2.55,100,48,2.8,4:3
Apple,iPhone 18 Pro,超广角,1/2.55,13,48,2.2,4:3
Apple,iPhone 18 Pro,主摄,1/1.3,24,48,4-1.48,4:3
Apple,iPhone 18 Pro,长焦,1/2.55,100,48,2.8,4:3
Apple,iPhone 15 Pro Max,超广角,1/2.55,13,12,2.2,4:3
Apple,iPhone 15 Pro Max,主摄,1/1.3,24,50,1.78,4:3
Apple,iPhone 15 Pro Max,长焦,1/3.6,120,12,2.8,4:3
小米,18 Fold,超广角,1/2.88,17,50,2.4,4:3
小米,18 Fold,主摄,1/1.56,23,200,1.7,4:3
小米,18 Fold,长焦,1/2.76,80,50,2.8,4:3
小米,18 Pro Max,超广角,1/2.88,17,50,2.4,4:3
小米,18 Pro Max,主摄,1/1.28,23,200,1.67,4:3
小米,18 Pro Max,长焦,1/1.56,75,200,2.4,4:3
小米,18 Pro,超广角,1/2.88,17,50,2.4,4:3
小米,18 Pro,主摄,1/1.28,23,200,1.67,4:3
小米,18 Pro,长焦,1/1.56,75,200,2.4,4:3
小米,17 Ultra,超广角,1/2.76,14,50,2.2,4:3
小米,17 Ultra,主摄,1,23,50,1.67,4:3
小米,17 Ultra,中焦,1/1.4,75,200,2.39,4:3
小米,17 Ultra,长焦,1/1.4,100,200,2.96,4:3
vivo,X500 Pro Max,超广角,1/2.76,15,50,2,4:3
vivo,X500 Pro Max,主摄,1/1.28,23,50,1.57,4:3
vivo,X500 Pro Max,长焦,1/1.4,85,200,2.67,4:3
vivo,X500 Pro,超广角,1/2.76,15,50,2,4:3
vivo,X500 Pro,主摄,1/1.28,23,50,1.57,4:3
vivo,X500 Pro,长焦,1/1.95,85,64,2.52,4:3
vivo,X500,超广角,1/2.76,15,50,2,4:3
vivo,X500,主摄,1/1.28,23,50,1.68,4:3
vivo,X500,长焦,1/1.95,72,64,2.55,4:3
vivo,X300 Ultra,超广角,1/1.28,14,50,2,4:3
vivo,X300 Ultra,主摄,1/1.28,35,50,1.85,4:3
vivo,X300 Ultra,长焦,1/1.4,85,200,2.67,4:3
