品牌,型号,条目名,CMOS,焦距,像素,光圈,比例
小米,小米 17 Ultra,超广角,1/2.76,14,50,2.2,4:3
小米,小米 17 Ultra,主摄,1,23,50,1.67,4:3
小米,小米 17 Ultra,中焦,1/1.4,75,200,2.39,4:3
小米,小米 17 Ultra,长焦,1/1.4,100,200,2.96,4:3
Apple,iPhone Duo,超广角,1/2.55,13,48,2.2,4:3
Apple,iPhone Duo,主摄,1/1.59,26,48,1.6,4:3
Apple,iPhone 18 Pro Max,超广角,1/2.55,13,48,2.2,4:3
Apple,iPhone 18 Pro Max,主摄,1/1.3,24,48,4-1.48,4:3
Apple,iPhone 18 Pro Max,长焦,1/2.55,100,48,2.8,4:3
Apple,iPhone 18 Pro,超广角,1/2.55,13,48,2.2,4:3
Apple,iPhone 18 Pro,主摄,1/1.3,24,48,4-1.48,4:3
Apple,iPhone 18 Pro,长焦,1/2.55,100,48,2.8,4:3
Apple,iPhone 15 Pro Max,超广角,1/2.55,13,12,2.2,4:3
Apple,iPhone 15 Pro Max,主摄,1/1.3,24,50,1.78,4:3
Apple,iPhone 15 Pro Max,长焦,1/3.6,120,12,2.8,4:3
